,bio1,bio12,dors.PC1,vent.PC1,Habitat,scaled_precip,scaled_temp,taxon
Synal_rutil_rut,25.5,2314,-0.0784,-0.3002,Forest,0.973,1.1081,Synal_rutil_rut
Dendo_certh_xxx,25.7,2324,0.0042,-0.1431,Forest,0.9852,1.1396,Dendo_certh_xxx
Scler_rufig_xxx,25.6,2327,-0.0792,-0.2417,Forest,0.9889,1.1238,Scler_rufig_xxx
Xenop_tenui_xxx,25.05,2339,0.0641,0.0064,Intermediate,1.0036,1.0372,Xenop_tenui_xxx
Denda_anaba_xxx,25.2,2347,0.0092,-0.1194,Forest,1.0134,1.0608,Denda_anaba_xxx
Phily_erytc_ery,25.2,2350,-0.0156,0.0646,Forest,1.0171,1.0608,Phily_erytc_ery
Anabc_rufic_xxx,24.9,2352,0.0298,0.1064,Forest,1.0195,1.0136,Anabc_rufic_xxx
Thria_fusci_xxx,25.4,2359.5,0.0758,-0.071,Forest,1.0287,1.0923,Thria_fusci_xxx
Synal_macco_xxx,25.95,2411.5,-0.091,-0.2183,Intermediate,1.0924,1.1789,Synal_macco_xxx
Denda_fulig_ful,25.05,2416.5,0.0184,-0.1245,Forest,1.0985,1.0372,Denda_fulig_ful
Scler_mexic_mex,22.4,2418,-0.0962,-0.2857,Forest,1.1003,0.62,Scler_mexic_mex
Decon_longi_xxx,25.7,2423,0.0066,-0.145,Forest,1.1064,1.1396,Decon_longi_xxx
Xiphr_obsol_xxx,26.4,2427,-0.0308,-0.1238,Forest,1.1113,1.2498,Xiphr_obsol_xxx
Anabc_varie_xxx,19.25,2443.5,-0.0296,-0.0739,Forest,1.1315,0.124,Anabc_varie_xxx
Xenop_minut_xxx,25,2449,0.0175,-0.0109,Forest,1.1383,1.0294,Xenop_minut_xxx
Lepid_soule_xxx,24.7,2461,0.0555,-0.025,Intermediate,1.153,0.9821,Lepid_soule_xxx
Autom_infus_inf,25.5,2499,-0.0544,0.1068,Forest,1.1995,1.1081,Autom_infus_inf
Xiphr_elega_xxx,25.4,2509.5,-0.0226,-0.1289,Forest,1.2123,1.0923,Xiphr_elega_xxx
Ancis_strig_xxx,25.3,2519.5,0.0134,0.1344,Intermediate,1.2246,1.0766,Ancis_strig_xxx
Autom_rufip_xxx,25.3,2523.5,-0.0444,-0.0846,Forest,1.2295,1.0766,Autom_rufip_xxx
Crani_eryth_xxx,18.6,2526,-0.0467,-0.1141,Intermediate,1.2325,0.0216,Crani_eryth_xxx
Marga_bellu_xxx,20.2,2534,-0.0844,-0.2049,Forest,1.2423,0.2736,Marga_bellu_xxx
Micrx_mille_xxx,26.1,2534,0.0293,-0.0218,Intermediate,1.2423,1.2026,Micrx_mille_xxx
Scler_cauda_xxx,25.2,2534,-0.0707,-0.2507,Forest,1.2423,1.0608,Scler_cauda_xxx
Dendo_sanct_xxx,25.3,2535.5,-0.0004,-0.1946,Forest,1.2442,1.0766,Dendo_sanct_xxx
Synal_eryth_xxx,25.1,2553,-0.0199,-0.0882,Forest,1.2656,1.0451,Synal_eryth_xxx
Pseuc_lawre_law,15.45,2567,-0.0175,-0.0467,Intermediate,1.2827,-0.4744,Pseuc_lawre_law
Certh_muste_xxx,26.4,2572,0.0611,0.4444,Nonforest,1.2889,1.2498,Certh_muste_xxx
