,taxon,back_red,bell_red,brea_red,crow_red,rump_red,tail_red,thro_red,back_bright,bell_bright,brea_bright,crow_bright,rump_bright,tail_bright,thro_bright,bio1,bio12,scaled_temp,scaled_precip,Habitat
Cichl_leuco_xxx,Cichl_leuco_xxx,0.028867038,0.04977347,0.053206044,0.014021354,0.027507707,0.04785585,0.0966349,0.251846062,0.383192737,0.421242937,0.221863353,0.250866206,0.323724237,0.580654222,18,1680,-0.067698137,0.196517419,Intermediate
Cincl_albid_xxx,Cincl_albid_xxx,0.015609905,0.088459234,0.054744713,0.013023191,0.017705947,0.020179459,0.047836438,0.257644507,0.545970209,0.428253388,0.232795192,0.261761784,0.305234857,0.537311388,7.4,1058,-1.74176789,-0.567916154,Nonforest
Cincl_albiv_xxx,Cincl_albiv_xxx,0.021383581,0.091082831,0.086801379,0.013468398,0.022601223,0.014893439,0.052361499,0.289265902,0.627708467,0.598502246,0.268308284,0.278203226,0.322739587,0.588976704,6.1,790,-1.947078331,-0.897286247,Nonforest
Cincl_antar_xxx,Cincl_antar_xxx,0.012335614,0.026669401,0.023145709,0.011350082,0.01301625,0.012990537,0.02443976,0.237801663,0.281595689,0.284121497,0.224252049,0.245447053,0.317834688,0.294764349,5.65,533.5,-2.01814733,-1.212522922,Nonforest
Cincl_ataca_xxx,Cincl_ataca_xxx,0.020801778,0.050635006,0.055687733,0.01862031,0.025082581,0.011773632,0.060521521,0.284905485,0.400869787,0.464958059,0.268296358,0.263520132,0.281362599,0.621931222,7.3,627,-1.757561001,-1.097612087,Nonforest
Cincl_comec_xxx,Cincl_comec_xxx,0.019717342,0.08412487,0.063613443,0.019377842,0.018591331,0.021212071,0.066995602,0.298174047,0.605048978,0.535334491,0.266803356,0.320049695,0.318079281,0.646993068,14.8,652,-0.573077685,-1.066887265,Nonforest
Cincl_excel_xxx,Cincl_excel_xxx,0.01765556,0.064798821,0.064815965,0.014774015,0.021701152,0.019002371,0.071030948,0.264929223,0.449542403,0.424135822,0.215295547,0.271350614,0.279987696,0.552702354,5.7,1172,-2.010250775,-0.427810966,Nonforest
Cincl_fuscu_xxx,Cincl_fuscu_xxx,0.0192343,0.08780912,0.063558257,0.016392223,0.023678528,0.019196596,0.050107238,0.270242084,0.544921771,0.508845769,0.26227389,0.285456217,0.325224657,0.581330549,11.25,543,-1.133733121,-1.20084749,Nonforest
Cincl_nigro_xxx,Cincl_nigro_xxx,0.010030218,0.0255624,0.023852341,0.008281209,0.011444682,0.006610609,0.028334427,0.255128272,0.291169713,0.29895821,0.20215705,0.242042037,0.255205351,0.345588383,16.2,345,-0.351974133,-1.444188081,Nonforest
Cincl_ousta_xxx,Cincl_ousta_xxx,0.014770696,0.051946278,0.038936655,0.009346409,0.013425349,0.009411602,0.036644585,0.247277696,0.426703751,0.390468838,0.233042227,0.246977313,0.278921261,0.501292438,10,516,-1.331147007,-1.234030297,Nonforest
Cincl_pabst_xxx,Cincl_pabst_xxx,0.026443708,0.087383303,0.080301655,0.019446199,0.029984559,0.01699353,0.061088041,0.298836578,0.532321564,0.493935119,0.251477021,0.310073281,0.294077613,0.564585421,15.2,1853,-0.509905242,0.409133188,Nonforest
Cincl_palli_xxx,Cincl_palli_xxx,0.033699438,0.121737247,0.13445803,0.042391122,0.036763047,0.007624962,0.117821098,0.297448236,0.82319717,0.80678084,0.370338857,0.298270255,0.266174686,0.792261234,1.7,972,-2.64197521,-0.673609542,Nonforest
Cincl_patag_xxx,Cincl_patag_xxx,0.014451395,0.027220555,0.027522942,0.01051364,0.014948161,0.011232859,0.045235817,0.260142359,0.312948208,0.349947987,0.233896828,0.238815547,0.274232262,0.516291751,11.1,1181,-1.157422788,-0.41675003,Nonforest
Cincl_tacza_xxx,Cincl_tacza_xxx,0.019201827,0.043139551,0.035571404,0.011138162,0.022306539,0.009218867,0.036284707,0.280675464,0.374928274,0.365736171,0.250139775,0.300622108,0.260538498,0.399269502,19.45,15.5,0.16130197,-1.849141236,Nonforest
Cliba_eryth_ery,Cliba_eryth_ery,0.023442504,0.053279343,0.050097538,0.037744727,0.042250301,0.036908226,0.114927373,0.263596162,0.429688248,0.421900121,0.263433265,0.309929368,0.313931712,0.462062804,23.6,633,0.816716072,-1.09023813,Intermediate
Cliba_recti_xxx,Cliba_recti_xxx,0.036673704,0.063371083,0.078035782,0.038223279,0.041077923,0.038558131,0.115616704,0.271041153,0.385177146,0.401241751,0.248588836,0.275277571,0.297653835,0.507332059,22.15,1172,0.587715964,-0.427810966,Forest
Cliba_rubig_cin,Cliba_rubig_cin,0.015840393,0.029317617,0.039343744,0.014110478,0.01999938,0.01582204,0.050951257,0.204011422,0.290653279,0.329040848,0.186421578,0.227529523,0.25579561,0.321470576,21.7,2656,0.516646965,1.396014474,Forest
Cliba_rufip_xxx,Cliba_rufip_xxx,0.02970907,0.067097439,0.073343818,0.024549061,0.034499433,0.021391975,0.092255622,0.253681528,0.376567962,0.393013867,0.235372438,0.262958643,0.287122863,0.39219329,19.7,2607,0.200784748,1.335793823,Forest
Coryp_alaud_xxx,Coryp_alaud_xxx,0.04996725,0.086750121,0.09134327,0.036116445,0.051164198,0.013437075,0.073869439,0.378143014,0.544225911,0.512641104,0.309312596,0.384607053,0.270537385,0.480972181,22.2,805,0.595612519,-0.878851354,Nonforest
